"AgencyID","DBA","Address","City","County","Zip","Agency Phone","Wholesale","Warehouse","Order Day","Week","Delivery Day","Primary Contact","Primary Contact Phone"
"10505","Central Liquors","9908 Colerain Ave","Cincinnati","Hamilton County","45251","513-245-1940","Yes","GPT","Thursday","Weekly","Tuesday","Srinivas Kamineni","513-252-7750"
"10506","Kroger","560 Wessel Dr","Fairfield","Butler County","45014","513-858-8200","-","GPT","Monday","Weekly","Thursday","Heidi Brown","513-418-8269"
"10507","McCauley's Carryout","6788 Fields Ertel Rd","Sharonville","Butler County","45241","513-247-7307","-","GPT","Wednesday","Weekly","Monday","Jay Patel","859-743-8936"
"10508","Kroger","4100 Hunt Rd","Blue Ash","Hamilton County","45236","513-792-1539","-","GPT","Thursday","Weekly","Tuesday","Holland St. Charles","513-833-7021"
"10509","Staggerlee's Carry Out","2020 Elm St","Cincinnati","Hamilton County","45202","513-751-9463","Yes","GPT","Tuesday","Weekly","Friday","Ranjith Chada","513-260-6109"
"10510","Deer Park Delicatessen","7916 Blue Ash Rd","Deer Park","Hamilton County","45236","513-891-5812","Yes","GPT","Thursday","Weekly","Tuesday","Keith Kolthoff","513-382-6770"
"10511","Jungle Jim's International Market","5440 Dixie Hwy","Fairfield","Butler County","45014","513-674-6000","Yes","GPT","Monday","Weekly","Thursday","Becky Holcomb","513-969-5384"
"10512","Hyde Park Wine And Spirits","2719 Madison Rd","Cincinnati","Hamilton County","45209","513-533-4300","Yes","GPT","Monday","Weekly","Thursday","Devang Patel","513-535-6515"
"10513","McGuires","4211 N Main St","Dayton","Montgomery County","45405","937-275-5731","-","GPT","Friday","Weekly","Wednesday","Phil Muhlenkamp","937-430-0070"
"10514","Beckett Wine & Liquor","8211 Princeton Glendale Rd","West Chester","Butler County","45069","513-860-4340","Yes","GPT","Thursday","Weekly","Tuesday","Srinivas Bandinani","732-715-0236"
"10515","Emporium Wines","233 Xenia Ave","Yellow Springs","Greene County","45387","937-767-7077","-","GPT","Friday","2","Wednesday","Kurt Miyazaki",""
"10516","Kroger","3033 Heritage Green Dr","Monroe","Butler County","45050","513-727-7441","Yes","GPT","Friday","Weekly","Wednesday","Rick Allen",""
"10517","Vonderhaars Market & Catering","19 W Pleasant St","Reading","Hamilton County","45215","513-554-1969","Yes","GPT","Thursday","Weekly","Tuesday","Kyle Harrod","513-560-4569"
"10518","Giant Liquor","9433 Cincinnati Columbus Rd","West Chester","Butler County","45069","513-644-9189","-","GPT","Wednesday","Weekly","Monday","Rohit Patel","513-885-6064"
"10519","Kroger","11390 Montgomery Rd","Cincinnati","Hamilton County","45249","513-247-4534","-","GPT","Wednesday","Weekly","Monday","Mark Vetorino","513-904-8754"
"10520","St. Bernard Shurfine Foods","4950 Vine St","Saint Bernard","Hamilton County","45217","513-242-9000","-","GPT","Tuesday","Weekly","Friday","Ranjith Chada","513-260-6109"
"10521","Village Keg","5 Enfield St","Cincinnati","Hamilton County","45218","513-825-2776","Yes","GPT","Monday","Weekly","Thursday","Ankit Patel","513-218-2994"
"10522","Kroger","3760 Paxton Ave","Cincinnati","Hamilton County","45209","15138714142","-","GPT","Wednesday","Weekly","Monday","John Moore","513-382-7570"
"10523","Fairborn Spirits","321 E Dayton Dr","Fairborn","Greene County","45324","937-878-5431","Yes","GPT","Wednesday","Weekly","Monday","Bhavnaben Chandulal Patel","705-849-6324"
"10524","Spirits & More","3006 Dixie Hwy","Hamilton","Butler County","45015","513-867-8755","Yes","GPT","Tuesday","Weekly","Friday","Shiva Annamaneni","714-931-4489"
"10525","Adam's County Beverage Barn","410 E 2nd St","Manchester","Adams County","45144","937-549-3200","Yes","GPT","Monday","2","Thursday","Lavaker R. Boreddy","317-374-5050"
"10526","Engel's Carryout","7699 Ripple Rd","Cleves","Hamilton County","45002","513-832-2030","Yes","GPT","Thursday","Weekly","Tuesday","Tejas Patel","513-280-3096"
"10527","Lakeview Carry Out","103 E Logan St","Celina","Mercer County","45822","419-586-4205","Yes","GPT","Thursday","Weekly","Tuesday","Jason Winner","937-266-4974"
"10528","Vandalia Carry Out","351 E National Rd","Vandalia","Montgomery County","45377","937-898-4657","Yes","GPT","Tuesday","Weekly","Friday","Adam Boyd","937-898-5221"
"10529","Westside Liquor","2315 Ferguson Rd","Cincinnati","Hamilton County","45238","513-347-9793","Yes","GPT","Wednesday","Weekly","Monday","Margarita Shur","513-706-4274"
"10530","Kroger","4500 Montgomery Rd","Norwood","Hamilton County","45212","513-841-3974","Yes","GPT","Tuesday","Weekly","Friday","Chandra Lovett","513-641-7909"
"10531","O'Bryan's Wine & Spirits","8972 Columbia Rd","Loveland","Warren County","45140","513-683-2082","Yes","GPT","Monday","Weekly","Thursday","Steven O'Bryan",""
"10532","Needler's Fresh Market","982 N Market St","Troy","Miami County","45373","937-335-6750","Yes","GPT","Monday","Weekly","Thursday","Zach Brown","765-661-6780"
"10533","Joe's Party Shop & Drive Thru","1080 Jefferson St","Greenfield","Highland County","45123","937-981-3032","Yes","GPT","Monday","Weekly","Thursday","Joseph Moses","937-403-8661"
"10534","Kroger","548 Clinton Ave","Washington Court House","Fayette County","43160","740-335-0974","Yes","GPT","Monday","Weekly","Thursday","jamie woods","937-763-5057"
"10535","Oxford Spirits","21 Lynn Ave","Oxford","Butler County","45056","513-523-7575","Yes","GPT","Monday","Weekly","Thursday","Suresh Gudapuri","513-479-6850"
"10537","Fine Wine & Spirits","8433-37 Beechmont Ave","Cincinnati","Hamilton County","45255","513-474-4996","Yes","GPT","Wednesday","Weekly","Monday","Chirag Patel","513-490-6861"
"10538","Mcmaken's IGA","1 McMaken Ln","Brookville","Montgomery County","45309","937-833-2118","-","GPT","Thursday","Weekly","Tuesday","Rhonda Price","614-581-7660"
"10539","Kroger","1230 Rombach Ave","Wilmington","Clinton County","45177","937-655-5700","Yes","GPT","Monday","Weekly","Thursday","Joe Holliday",""
"10540","Party Place","485 Home St","Georgetown","Brown County","45121","937-378-0020","Yes","GPT","Monday","1","Thursday","Dhirendra Singh","513-410-7997"
"10541","Little Farm","881 E Dixie Dr","West Carrollton","Montgomery County","45449","937-859-0500","Yes","GPT","Thursday","Weekly","Tuesday","Keshav Reddy",""
"10542","Liberty Wine & Liquor","5501 Liberty Square Drive","Hamilton","Butler County","45011","513-857-7009","Yes","GPT","Monday","Weekly","Thursday","Bhavesh Patel","513-668-7640"
"10543","Spirits of Madeira","6917 Miami Ave","Madeira","Hamilton County","45243","513-561-2702","Yes","GPT","Monday","Weekly","Thursday","Jennifer Kern","513-315-4758"
"10544","Lehr's Prime Market","740 Main St","Milford","Clermont County","45150","513-831-3411","Yes","GPT","Wednesday","Weekly","Monday","Lili Horne","513-987-6400"
"10545","Tom's Drive Thru","1906 Galbraith Rd","Cincinnati","Hamilton County","45239","513-729-4062","Yes","GPT","Wednesday","Weekly","Monday","joe flohr","513-502-7998"
"10546","Giant Liquor","2000 E. Whipp Rd.","Kettering","Greene County","45440","937-723-9427","Yes","GPT","Thursday","Weekly","Tuesday","UT Trivedi","510-676-0750"
"10547","Noonan's Party Connection","1350 Main St","Hamilton","Butler County","45013","513-868-8300","Yes","GPT","Friday","Weekly","Wednesday","Thomas Noonan",""
"10548","Kroger","2100 W Michigan St","Sidney","Shelby County","45365","937-494-1038","Yes","GPT","Wednesday","Weekly","Monday","Jessica Suthers","937-494-1038"
"10549","Brentwood Spirits","8621 Winton Rd","Cincinnati","Hamilton County","45231","513-522-5830","Yes","GPT","Thursday","Weekly","Tuesday","Hasmukh Patel","859-953-1292"
"10550","Kroger","2120 Beechmont Ave","Cincinnati","Hamilton County","45230","513-231-4530","-","GPT","Monday","Weekly","Thursday","Jocelyn Dewald","513-915-5330"
"10551","Gina's Liquor","2227 Germantown St","Dayton","Montgomery County","45417","937-938-5882","-","GPT","Thursday","Weekly","Tuesday","Keshav Reddy",""
"10552","Manor Wine Cellar","5544 Airway Rd","Dayton","Montgomery County","45431","937-254-5556","Yes","GPT","Monday","Weekly","Thursday","Gregory Schultz",""
"10553","Delhi Liquor","5193 Delhi Pike","Cincinnati","Hamilton County","45238","513-451-4671","Yes","GPT","Thursday","Weekly","Tuesday","Rohit Patel","513-828-8263"
"10554","Morrow Village Market","121 W Pike St","Morrow","Warren County","45152","513-899-7736","-","GPT","Tuesday","Weekly","Friday","Vinay Patel","513-888-7890"
"10555","Tri County Beverage","350 Northland Blvd","Cincinnati","Hamilton County","45246","513-771-3419","Yes","GPT","Thursday","Weekly","Tuesday","Neel Thumma","256-679-7097"
"10556","Airy Pony Keg","7549 Colerain Ave","Cincinnati","Hamilton County","45239","513-522-0403","Yes","GPT","Thursday","Weekly","Tuesday","Ranjith Chada","513-260-6109"
"10557","Kroger","262 W Main St","Amelia","Clermont County","45102","513-718-2229","Yes","GPT","Wednesday","Weekly","Monday","Brian Foster","513-368-9685"
"10558","Queen City Wine and Spirits","120 E Fourth Street","Cincinnati","Hamilton County","45202","513-579-9999","Yes","GPT","Wednesday","Weekly","Monday","Khusbu Patel","513-404-3908"
"10559","Community Markets","805 Defiance St","Wapakoneta","Auglaize County","45895","419-738-8817","Yes","GPT","Wednesday","Weekly","Monday","Zach Brown","765-661-6780"
"10560","Eastgate Wine and Spirits","4496 Mt Carmel Tobasco Rd","Cincinnati","Clermont County","45244","513-688-1888","Yes","GPT","Monday","Weekly","Thursday","Pritesh Patel",""
"10561","Xenia Liquors","276 Dayton Ave","Xenia","Greene County","45385","937-372-3581","Yes","GPT","Wednesday","Weekly","Monday","Nitin Pahwa","732-762-4901"
"10562","Air City Wine & Liquor","3114 N Dixie Dr","Dayton","Montgomery County","45414","937-275-2811","Yes","GPT","Wednesday","Weekly","Monday","Tyler Gray","937-275-2811"
"10563","Kroger","7580 Beechmont Ave","Cincinnati","Hamilton County","45255","513-233-4441","Yes","GPT","Friday","Weekly","Wednesday","Nick Morales","513-602-8548"
"10564","Sharonville Liquor & Wine","11018 Reading Rd","Sharonville","Hamilton County","45241","513-563-4606","Yes","GPT","Thursday","Weekly","Tuesday","Ashish Patel","1-5138852016"
"10565","Springboro Spirits","748 Gardner Rd","Springboro","Warren County","45066","937-748-2131","-","GPT","Monday","Weekly","Thursday","Gaurav Bhatara",""
"10566","Liquor Quick","102 Edgewood Dr","Trenton","Butler County","45067","513-988-9074","Yes","GPT","Friday","Weekly","Wednesday","robyn combs","513-571-6702"
"10567","Arrow Wine & Spirits","615 Lyons Road","Dayton","Montgomery","45459","937-433-6778","Yes","GPT","Friday","Weekly","Wednesday","Nate Lee","937-434-8087"
"10568","New Odd House Party Supply","1268 E Central Ave","Miamisburg","Montgomery County","45342","937-866-5231","-","GPT","Friday","Weekly","Wednesday","Matthew Tontrup","513-594-6415"
"10569","Back's Deli & Drive Thru","1101 Harrison Ave","Harrison","Hamilton County","45030","513-367-9195","Yes","GPT","Thursday","Weekly","Tuesday","Niraj Zala","848-468-6588"
"10570","Giant Liquors","4908 Socialville Foster Rd","Mason","Warren County","45040","513-466-8044","Yes","GPT","Tuesday","Weekly","Friday","Dharmin Patel","812-655-3503"
"10571","Johns IGA Foodliner","1327 E Main St","Versailles","Darke County","45380","937-526-3349","Yes","GPT","Thursday","1","Tuesday","Michael Johns",""
"10572","Middletown Fine Wine & Spirits","721 S Breiel Blvd","Middletown","Butler County","45044","513-423-3631","Yes","GPT","Monday","Weekly","Thursday","Sanket Patel","513-302-4991"
"10573","Beaver Valley Wine & Spirits","3325 Seajay Dr","Beavercreek","Greene County","45430","937-426-0060","Yes","GPT","Thursday","Weekly","Tuesday","Melvin Monteiro","937-623-2663"
"10574","Salem Beverage & Market","3440 Salem Ave","Dayton","Montgomery County","45406","937-274-3971","-","GPT","Thursday","Weekly","Tuesday","Anil Musku","301-401-2984"
"10575","Arrow Wine & Spirits","2950 Far Hills Ave","Dayton","Montgomery County","45419","937-298-1456","-","GPT","Friday","Weekly","Wednesday","Joanny shivers","326-213-7222"
"10576","The Wine List","7381 Tylers Corners Dr","West Chester","Butler County","45069","513-755-3300","Yes","GPT","Thursday","Weekly","Tuesday","Gurdeep Monga","315-269-9260"
"10577","McMiller's Carry Out","601 Martin St","Greenville","Darke County","45331","937-548-4002","Yes","GPT","Thursday","2","Tuesday","Justin Rench","937-459-2318"
"10578","Handy One Food Mart","3105 E Dorothy Ln","Dayton","Montgomery County","45420","937-293-5112","-","GPT","Monday","Weekly","Thursday","Rob Leraas","937-750-6323"
"10579","Kroger","885 Union Blvd","Englewood","Montgomery County","45322","937-832-4084","Yes","GPT","Wednesday","Weekly","Monday","David Mann","937-750-9324"
"10580","Red's Deli","2801-2803 Price Ave","Cincinnati","Hamilton County","45204","513-471-1444","Yes","GPT","Monday","Weekly","Thursday","Anil Shah","513-378-8249"
"10581","St. Marys Liquor","200 E High St","Saint Marys","Auglaize County","45885","419-394-5220","Yes","GPT","Thursday","Weekly","Tuesday","Brad Wourms","937-751-4032"
"10582","Kroger","1510 Covington Ave","Piqua","Miami","45356","937-381-8271","Yes","GPT","Tuesday","Weekly","Friday","Emory Moore",""
"10583","Gel's Supermarket","451 Stachler Dr","Saint Henry","Mercer County","45883","419-678-4249","Yes","GPT","Thursday","Weekly","Tuesday","Chris Jansen","937-776-5549"
"10584","Kwik N Kold","2918 South Olive Road","Trotwood","Montgomery","45426","937-837-2337","-","GPT","Thursday","Weekly","Tuesday","Surinderjit Sandhawalia",""
"10585","The Wine Connection","1258 S.R. 28 Miami Twp.","Milford","Clermont","45150","513-722-9463","-","GPT","Monday","Weekly","Thursday","Srinivas Bandinani","732-715-0236"
"10586","Kroger","5910 Harrison Ave.","Cincinnati","Hamilton","45248","513-370-2000","-","GPT","Thursday","Weekly","Tuesday","Todd Boyle","513-265-6145"
"10587","Party Place","203 E Main St","Mount Orab","Brown County","45154","937-444-4282","Yes","GPT","Monday","1","Thursday","Praveen Varma","513-479-1945"
"10588","Kroger","1425 Columbus Ave","Lebanon","Warren County","45036","513-228-7347","Yes","GPT","Friday","Weekly","Wednesday","Leslie Lewis","513-364-7157"
"10589","C & J Party Supply","26 Emerick Rd","West Milton","Miami County","45383","937-698-6800","-","GPT","Thursday","1","Tuesday","Haley Moore","937-308-7968"
"10590","Belmont Party Supply","2621 South Smithville Road","Dayton","Montgomery","45420","937-252-4724","Yes","GPT","Thursday","Weekly","Tuesday","Sreelatha Baddam","301-401-2985"
"10591","More For Less","444 A N James H Mcgee Blvd.","Dayton","Montgomery","45402","937-263-1580","-","GPT","Tuesday","Weekly","Friday","Sreelatha Baddam","301-401-2985"
"10592","Miami Valley Wine & Spirits","943 W Main St","Tipp City","Miami County","45371","937-667-3614","-","GPT","Thursday","Weekly","Tuesday","Rodny Martino",""
"10593","Smith's Liquor","1024 S Smithville Rd","Dayton","Montgomery County","45403","937-256-2122","Yes","GPT","Wednesday","Weekly","Monday","Anil Musku","301-401-2984"
"10594","River's Bend Wine and Spirits","5974 OH-48","Maineville","Warren County","45039","513-494-9420","Yes","GPT","Monday","Weekly","Thursday","Rohit Patel",""
"10595","Miami Wine and Liquor","6565 Brandt Pike","Dayton","Montgomery County","45424","937-235-2046","Yes","GPT","Monday","Weekly","Thursday","Kali McDowell","937-216-8516"
"10596","Cappy's Wine & Spirits","309 W Loveland Ave","Loveland","Clermont County","45140","513-677-2599","Yes","GPT","Monday","Weekly","Thursday","Benjamin Capodagli","513-807-3546"
"10597","Franklin Party Supply","443 Riley Blvd","Franklin","Warren County","45005","937-746-7212","Yes","GPT","Friday","Weekly","Wednesday","Rick Snowden",""
"20601","Kroger","2555 Glendale Ave","Toledo","Lucas County","43614","419-385-4660","-","GRN","Thursday","Weekly","Tuesday","Raven Meiring","419-262-7703"
"20602","Kroger","113 E Airport Hwy","Swanton","Fulton County","43558","419-825-7110","Yes","GRN","Thursday","Weekly","Tuesday","Diane Roe","419-343-0213"
"20604","Defiance Beverage Center","1100 N Clinton St","Defiance","Defiance County","43512","419-784-1888","Yes","GPT","Monday","Weekly","Thursday","ABBAS ISMAIL","567-249-7523"
"20605","Monroe Carryout","2839 Monroe St","Toledo","Lucas County","43606","419-243-8834","-","GRN","Friday","Weekly","Wednesday","Marie Faris","419-450-8334"
"20607","Miller's Market","117 Whittlesey Ave","Norwalk","Huron County","44857","419-668-9344","Yes","GRN","Thursday","Weekly","Tuesday","Larnell Jackson","419-668-9344"
"20610","Alexa Liquor Barn","2101 W Alexis Rd","Toledo","Lucas County","43613","419-472-3337","Yes","GRN","Monday","Weekly","Thursday","Lucky Mani","614-886-0401"
"20612","Huron Market","525 Cleveland Rd W","Huron","Erie County","44839","419-433-2499","Yes","GRN","Monday","Weekly","Thursday","Tim Board","419-202-2441"
"20613","Kroger","790 W Market St","Tiffin","Seneca County","44883","419-447-3314","Yes","GRN","Friday","Weekly","Wednesday","Lisa Crosby","419-206-2127"
"20614","Kroger","1700 Cedar St","Fremont","Sandusky County","43420","419-332-7985","Yes","GRN","Friday","Weekly","Wednesday","Katelyn Haubert",""
"20615","Kroger","126 W High St","Fostoria","Seneca County","44830","419-435-4137","Yes","GRN","Friday","Weekly","Wednesday","Nicholas Nomina","419-435-4006"
"20616","Wine Sellers","3333 W Elm St","Lima","Allen County","45807","419-991-1901","Yes","GPT","Wednesday","Weekly","Monday","Neery Madan","419-303-8982"
"20617","Arnold's Carryout","105 Myrtle Ave","Willard","Huron County","44890","419-935-0037","Yes","GRN","Friday","Weekly","Wednesday","Eric Donnamiller","419-706-3140"
"20618","Hogue's Foodland Mkt","855 Kilbourne St","Bellevue","Sandusky County","44811","419-483-2310","Yes","GRN","Friday","Weekly","Wednesday","Tracy Hogue","419-483-2310"
"20619","Meijer","3298 Elida Rd","Lima","Allen County","45805","419-331-6409","-","GPT","Wednesday","Weekly","Monday","Kim Shearn","419-302-4402"
"20620","Kroger","3301 Navarre Ave","Oregon","Lucas County","43616","419-690-8111","Yes","GRN","Monday","Weekly","Thursday","Jason Hetz","567-377-7088"
"20621","Chief Super Market 15","1247 Scott Street","Napoleon","Henry","43545","419-592-2846","Yes","GRN","Wednesday","Weekly","Monday","John Holbrook","419-231-0376"
"20622","Walt Churchill's Market","3320 Briarfield Blvd","Maumee","Lucas County","43537","419-794-4000","-","GRN","Thursday","Weekly","Tuesday","Sebastian Rice","419-794-4000"
"20623","Dick's Grocery & Carryout","1318 Tiffin Ave","Sandusky","Erie County","44870","419-626-1783","Yes","GRN","Monday","Weekly","Thursday","Joel Lorenz",""
"20624","Daryl & Daryl's Pizza & Wings","3232 Harding Hwy","Lima","Allen County","45804","419-228-9464","Yes","GPT","Monday","Weekly","Thursday","Anthony Collins",""
"20625","Kroger","2028 E Harbor Rd","Port Clinton","Ottawa County","43452","419-734-7913","Yes","GRN","Monday","Weekly","Thursday","Kristin Kirk","419-734-7913"
"20626","Marino's Beverage Depot","5829 Monroe St","Sylvania","Lucas County","43560","419-885-8888","Yes","GRN","Wednesday","Weekly","Monday","Batrisa Markho",""
"20627","Pauken Wine & Liquor","221 Golden Gate Shopping Center","Maumee","Lucas","43537","419-893-2173","Yes","GRN","Friday","Weekly","Wednesday","Brad Robertson",""
"20629","Joseph's Beverage Center","4129 Talmadge Rd","Toledo","Lucas County","43623","419-841-3000","Yes","GRN","Wednesday","Weekly","Monday","Chris Newton","419-472-1421"
"20630","Beverage Barn","1901 Tiffin Ave","Findlay","Hancock County","45840","419-422-2633","Yes","GRN","Thursday","Weekly","Tuesday","Eric Hager","419-266-4376"
"20631","Duke's State Liquor Store","630 N Main St","Lima","Allen County","45801","419-222-0334","Yes","GPT","Wednesday","Weekly","Monday","Pamula Vippala","419-222-0334"
"20632","Kroger","2257 N Holland Sylvania Rd","Toledo","Lucas County","43615","419-578-1307","Yes","GRN","Thursday","Weekly","Tuesday","Kristian Hayes","419-578-6460"
"20633","Kroger","1094 N Main St","Bowling Green","Wood County","43402","419-353-3919","Yes","GRN","Thursday","Weekly","Tuesday","Kari Gonder","419-353-3919"
"20634","Partee Shop","303 W Main St","Van Wert","Van Wert County","45891","419-238-9951","Yes","GPT","Monday","Weekly","Thursday","Shyam Parteeshop","567-271-9511"
"20636","Miller Brother's Supervalue","166 W Main St","New London","Huron County","44851","419-929-1591","-","GRN","Tuesday","Weekly","Friday","Alex Szmania","419-577-6175"
"20638","Kroger","101 6th St","Findlay","Hancock County","45840","419-423-2065","-","GRN","Friday","Weekly","Wednesday","Robin Aldrich","419-889-5482"
"20639","Cheers","547 E Manhattan Blvd","Toledo","Lucas County","43608","419-407-5466","-","GRN","Tuesday","Weekly","Friday","George Estephan","586-222-3557"
"20640","Stop & Go","653 Main St","Toledo","Lucas County","43605","419-693-3969","Yes","GRN","Monday","Weekly","Thursday","Ravi Kumar Kamtam","475-777-4657"
"20641","Kroger","4633 Suder Ave","Toledo","Lucas County","43611","419-727-2668","Yes","GRN","Monday","Weekly","Thursday","Michelle Doncoes","419-727-2668"
"20643","Woodbury Market","1503 Woodville Rd","Millbury","Wood County","43447","419-836-9691","Yes","GRN","Friday","Weekly","Wednesday","Julie Pieper","419-351-0133"
"20644","Chief Super Market","1069 North Williams Street","Paulding","Paulding","45879","419-399-3751","Yes","GPT","Monday","Weekly","Thursday","Zach Brown","765-661-6780"
"20645","Kroger","7545 W Sylvania Ave","Sylvania","Lucas County","43560","419-841-2888","-","GRN","Thursday","Weekly","Tuesday","Sarah Subleski",""
"20646","Kroger","4925 Jackman Rd","Toledo","Lucas County","43613","419-475-4394","-","GRN","Wednesday","Weekly","Monday","Douglas Drouillard","419-349-8871"
"20647","Ottawa Beverage & Liquor","485 North Perry St.","Ottawa","Putnam","45875","567-538-5241","Yes","GPT","Monday","Weekly","Thursday","Viral Patel","440-283-9443"
"20649","Kroger","226 E Perkins Ave","Sandusky","Erie County","44870","419-239-2623","Yes","GRN","Thursday","Weekly","Tuesday","Jack Brushaber","419-515-0318"
"20650","Top Shelf","3303 Dorr St","Toledo","Lucas","43607","586-222-3557","-","GRN","Tuesday","Weekly","Friday","Badih Feghali","586-222-3557"
"20651","Bryan Wine & Spirits","123 E South St","Bryan","Williams","43506","419-212-9064","Yes","GPT","Monday","Weekly","Thursday","Sunny .","216-299-7899"
"20652","Chief Super Market","810 N Shoop Ave","Wauseon","Fulton","43567","419-335-4645","Yes","GRN","Wednesday","Weekly","Monday","Zach Brown","765-661-6780"
"20653","Walt Churchill's Market","26625 N Dixie Hwy","Perrysburg","Wood","43351","419-872-6900","-","GRN","Thursday","Weekly","Tuesday","Pat Torongo","419-494-8745"
"20657","Cora's Wine & Spirits","106-110 East Napoleon Rd.","Bowling Green","Wood","43402","419-806-4970","Yes","GRN","Tuesday","Weekly","Friday","Malek Abboud","216-632-0114"
"20666","Kroger","27322 Carronade Dr","Perrysburg","Wood County","43551","567-336-4658","Yes","GRN","Friday","Weekly","Wednesday","Destiny Cornett","567-315-6365"
"20669","IGA Community Markets","279 W Water St","Oak Harbor","Ottawa County","43449","419-898-4891","Yes","GRN","Monday","Weekly","Thursday","Zach Brown","765-661-6780"
"20673","Gail's Party Shoppe","201 S Main St","Gibsonburg","Sandusky County","43431","419-637-7348","Yes","GRN","Friday","Weekly","Wednesday","Laura Keller",""
"20679","Kroger","8730 Waterville Swanton Rd","Waterville","Lucas County","43566","419-878-1030","-","GRN","Tuesday","Weekly","Friday","Russel Walters","567-277-5629"
"20681","One Stop Carry Out","206 S Vance St","Carey","Wyandot County","43316","419-396-5320","Yes","GRN","Thursday","Weekly","Tuesday","Drew Dean","419-396-7307"
"20685","Buehler's","222 Portland Way","Galion","Crawford","44833","567-393-9755","Yes","GRN","Thursday","Weekly","Tuesday","Judson Palmer","262-343-5097"
"20686","Bassett's Market","3994 E Harbor Rd","Port Clinton","Ottawa County","43452","419-734-6506","Yes","GRN","Wednesday","Weekly","Monday","Charlie Bassett","419-341-1498"
"20689","Mutach's Food Market","8037 E Harbor Rd","Lakeside Marblehead","Ottawa County","43440","419-798-5203","Yes","GRN","Wednesday","Weekly","Monday","Sanjaykumar P. Patel","516-343-6175"
"20690","Ehrhart's Drive Thru","108 N Lane St","Bucyrus","Crawford County","44820","419-562-5886","Yes","GRN","Friday","Weekly","Wednesday","Hayley Matheny","419-569-7599"
"20691","Bellmann's Party Shop","134 E 5th St","Delphos","Allen County","45833","419-692-4936","Yes","GPT","Monday","Weekly","Thursday","Dhaval Patel",""
"20692","Kroger","7059 Orchard Centre Dr","Holland","Lucas County","43528","567-297-4119","Yes","GRN","Thursday","Weekly","Tuesday","Sandy Blase","567-297-4119"
"20694","Kork & Kap","135 E Main St","Crestline","Crawford County","44827","419-683-2173","Yes","GRN","Friday","Weekly","Wednesday","Sreelatha Baddam","301-401-2985"
"30200","Riesbeck's","2200 June Parkway","Zanesville","Muskingum County","43701","740-450-4985","Yes","GPT","Tuesday","Weekly","Friday","Jim Berry","740-238-6590"
"30202","Giant Eagle","6700 Hayden Run Blvd","Hilliard","Franklin County","43026","614-529-9511","-","GPT","Thursday","Weekly","Tuesday","Joe Tasker","216-509-2423"
"30203","Northwest Wine and Spirits","821 Bethel Rd","Columbus","Franklin County","43214","614-947-0738","Yes","GPT","Thursday","Weekly","Tuesday","Darpan Patel","614-290-7203"
"30204","Cross Creek General Store","58522 US-50","McArthur","Vinton County","45651","740-596-2213","Yes","GPT","Monday","1","Thursday","Navdeep Singh","518-469-7864"
